Housing,BodyWeight.end,BodyWeight.start,BrainWeight,AdrenalWeight,LiverWeight,HeartWeight,BodyLength,BrdU,Ki67,Neurons,Astrocytes,Cholesterol,log.corticosterone,Glucose,log.triglycerides,Hippocampus,DG,IMF,SMF,Hilus,EntorhinalCortex,CingulateCortex,MotorCortex,NOR.DI,NOR.exploration.T1,NOR.exploration.T2,NOR.exploration.T3,NOR.exploration.T4,NOR.exploration.T5,Rotarod.MeanDuration,OF.RE.T1,OF.RE.T2,OF.habituation,OF.CenterDuration.T1,OF.CenterDuration.T2
ENR,19.4,16.79,0.49,55,0.73,0.11,9.4,235,317,1242,103,0.7332523451,11.7141925148,22.241712581,-0.9906160333,8.93365,1.75223,6.185,32.595,29.9075,495.96425,1079.4080833333,703.589,0.6472166175,31.06662,2.866662,49.69996,25.3,0.199999,128,0.8213151475,0.5804815209,0.2408336267,41.3333,14.6333
ENR,20.9,17.16,0.49,35,0.89,0.11,9.55,245,296,1161,191,1.2788652644,10.961402801,19.4780160054,-0.6962059885,8.50405,1.70775,5.69,35.4625,29.265,677.93525,1181.5523333333,842.1942,NA,7.26666,0.399999,0,0,1.066666,155,0.7783239479,0.493631834,0.2846921139,43.7333,20.5333
CTRL,23.3,17.06,0.49,48,0.95,0.1,9.8,133,212,650,133,1.1935798227,10.7701260013,22.422197654,-0.9290727547,NA,NA,NA,NA,NA,593.294,1142.10775,843.1574666667,-0.1645566976,16.79998,25.19996,10.53333,18.66663,16.66665,118,0.8579946302,0.7478943724,0.1101002578,36.6666,23.1
ENR,20.4,16.68,0.49,52,0.76,0.12,9.7,214,279,1117,77,0.7658685834,11.2031211842,21.7619601708,-1.1926880421,9.66342,2.0467,6.9425,36.03,32.1,737.427,1151.21725,830.3149,-0.9923372352,36.79996,13.799966,8.699993,21.1333,21.3666,127,0.8168561619,0.6533395657,0.1635165962,36.4,24.1666
ENR,21,16.41,0.49,55,0.88,0.12,9.7,197,248,949,194,1.1160358781,11.6978449824,32.2897990218,-0.5995253603,9.73318,2.02285,7.5975,35.8175,37.1425,551.83125,1115.5913333333,NA,0.679998272,11.666666,0,0.833333,1.7,6.36666,184,0.7877592329,0.6385189431,0.1492402898,46.3,8.73332
ENR,18.8,16.02,0.48,44,0.81,0.095,9.3,223,196,1225,78,0.8683108361,11.6225102851,24.315565405,-0.836382663,9.35005,1.8753,6.42,36.265,30.2525,581.7231666667,1108.768,750.17995,1,5.06666,0,0.666666,2.099996,2.933329,150,0.8846425252,0.7527785525,0.1318639728,58.7666,36.4333
CTRL,24.2,18,0.48,58,0.99,0.13,9.85,129,258,626,64,1.2938369536,11.8565609049,17.3629446241,-1.1321827958,9.04067,1.81845,6.425,35.3025,32.565,576.4811666667,1194.3825,781.4193,-0.1555552593,9.03332,7.46665,5.99999,6.16667,2.333329,54,0.8211327968,0.7247112183,0.0964215785,40.9,19.3333
ENR,20.4,17.6,0.49,42,0.8,0.1,9.7,205,264,1070,86,0.607744404,10.8556154542,18.6768846056,-1.1486108626,10.186,2.09048,6.035,38.205,37.2025,713.3983333333,1121.842,772.85015,NA,15.2333,0,0,4.83333,0,180,0.793359124,0.5889437745,0.2044153495,33.9666,17
ENR,22.1,17.87,0.48,42,1.24,0.14,NA,92,168,486,55,0.7487901592,11.5581397767,18.2960357331,-0.658463109,9.37195,1.9638,6.8375,39.0275,37.2875,655.2136666667,1065.5091666667,763.6438333333,1,28.53326,24.5,4.8,34.49992,41.6666,140,0.8766749856,0.849948983,0.0267260026,113.3,65.9999
CTRL,21.5,17.26,0.47,61,0.81,0.12,9.7,146,255,648,158,1.1990118007,11.4303578923,28.963552449,-0.5371019364,8.70522,1.86253,5.765,35.25,28.4025,701.5281666667,1027.7523333333,819.9242,1,9.09999,2.900002,3.03333,2.299994,0.233333,121,0.8592872281,0.7347639889,0.1245232392,88.0666,21.7
ENR,21.7,17.98,0.5,54,0.93,0.12,9.85,191,248,1037,73,0.9466970883,11.3125627558,22.2146523311,-0.9466190286,8.19485,1.83347,5.3125,22.14,29.6,NA,1155.7601666667,697.6454333333,-0.2297292093,12.299967,0,4.93333,2.53333,0,159,0.7814586727,0.555505493,0.2259531797,25.8,9.99999
ENR,21,18.09,0.5,42,0.89,0.12,9.45,170,227,969,31,1.0613353176,11.7543777278,16.2179055055,-1.1287609968,9.87488,2.04718,8.795,37.7675,30.8175,618.0553333333,1101.6673333333,758.1970666667,NA,3.299996,0,0,1.86666,1.566665,213,0.8176194547,0.5898904149,0.2277290398,23.5666,1.3
ENR,20.1,17.34,0.48,53,0.82,0.12,9.6,186,445,937,123,0.7203913464,10.8895258635,20.732947107,-0.7269763962,7.78068,1.57832,8.065,36.5275,27.0375,653.6656666667,1173.6235833333,804.0889666667,0.3281255127,14.53333,0,4.26666,5.46666,2,194,0.8093013809,0.6109684378,0.1983329431,52.0333,40.0333
